Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,7,25,0,Some Random Commen with Id 0
1,1,7,80,5,Some Random Commen with Id 1
2,1,7,177,9,Some Random Commen with Id 2
3,1,7,168,1,Some Random Commen with Id 3
4,1,7,36,3,Some Random Commen with Id 4
5,2,0,97,5,Some Random Commen with Id 5
6,2,0,48,0,Some Random Commen with Id 6
7,2,0,159,0,Some Random Commen with Id 7
8,3,9,142,2,Some Random Commen with Id 8
9,3,9,56,5,Some Random Commen with Id 9
10,3,9,127,4,Some Random Commen with Id 10
11,3,9,0,2,Some Random Commen with Id 11
12,3,9,81,9,Some Random Commen with Id 12
13,3,9,80,4,Some Random Commen with Id 13
14,4,5,74,1,Some Random Commen with Id 14
15,4,5,37,2,Some Random Commen with Id 15
16,4,5,124,3,Some Random Commen with Id 16
17,4,5,53,7,Some Random Commen with Id 17
18,5,0,110,0,Some Random Commen with Id 18
19,5,0,151,9,Some Random Commen with Id 19
20,5,0,189,9,Some Random Commen with Id 20
21,5,0,107,1,Some Random Commen with Id 21
22,5,0,12,4,Some Random Commen with Id 22
23,6,3,180,8,Some Random Commen with Id 23
24,7,7,31,0,Some Random Commen with Id 24
25,7,7,194,6,Some Random Commen with Id 25
26,7,7,136,2,Some Random Commen with Id 26
27,7,7,116,9,Some Random Commen with Id 27
28,7,7,26,3,Some Random Commen with Id 28
29,7,7,5,6,Some Random Commen with Id 29
30,7,7,153,2,Some Random Commen with Id 30
31,8,4,17,9,Some Random Commen with Id 31
32,8,4,1,2,Some Random Commen with Id 32
33,8,4,186,9,Some Random Commen with Id 33
34,8,4,167,1,Some Random Commen with Id 34
35,8,4,52,6,Some Random Commen with Id 35
36,8,4,168,7,Some Random Commen with Id 36
37,8,4,149,8,Some Random Commen with Id 37
38,8,4,36,8,Some Random Commen with Id 38
39,9,2,192,5,Some Random Commen with Id 39
40,9,2,57,2,Some Random Commen with Id 40
41,10,1,195,9,Some Random Commen with Id 41
42,10,1,40,1,Some Random Commen with Id 42
43,10,1,93,2,Some Random Commen with Id 43
44,10,1,155,7,Some Random Commen with Id 44
45,10,1,70,1,Some Random Commen with Id 45
46,11,3,107,4,Some Random Commen with Id 46
47,11,3,159,0,Some Random Commen with Id 47
48,11,3,180,2,Some Random Commen with Id 48
49,11,3,14,3,Some Random Commen with Id 49
50,11,3,104,8,Some Random Commen with Id 50
51,11,3,35,7,Some Random Commen with Id 51
52,11,3,93,1,Some Random Commen with Id 52
53,11,3,118,9,Some Random Commen with Id 53
54,11,3,24,1,Some Random Commen with Id 54
55,12,5,101,5,Some Random Commen with Id 55
56,12,5,183,1,Some Random Commen with Id 56
57,14,0,96,1,Some Random Commen with Id 57
58,14,0,42,3,Some Random Commen with Id 58
59,14,0,157,2,Some Random Commen with Id 59
60,14,0,88,1,Some Random Commen with Id 60
61,14,0,69,7,Some Random Commen with Id 61
62,14,0,148,0,Some Random Commen with Id 62
63,14,0,63,3,Some Random Commen with Id 63
64,15,5,94,6,Some Random Commen with Id 64
65,15,5,48,1,Some Random Commen with Id 65
66,15,5,89,7,Some Random Commen with Id 66
67,15,5,125,5,Some Random Commen with Id 67
68,16,0,55,0,Some Random Commen with Id 68
69,16,0,74,6,Some Random Commen with Id 69
70,17,8,4,9,Some Random Commen with Id 70
71,17,8,90,6,Some Random Commen with Id 71
72,17,8,115,9,Some Random Commen with Id 72
73,17,8,85,5,Some Random Commen with Id 73
74,17,8,158,6,Some Random Commen with Id 74
75,17,8,28,4,Some Random Commen with Id 75
76,17,8,88,9,Some Random Commen with Id 76
77,17,8,20,2,Some Random Commen with Id 77
78,18,0,42,8,Some Random Commen with Id 78
79,18,0,88,6,Some Random Commen with Id 79
80,18,0,56,2,Some Random Commen with Id 80
81,18,0,83,7,Some Random Commen with Id 81
82,19,8,147,5,Some Random Commen with Id 82
83,19,8,142,6,Some Random Commen with Id 83
84,20,0,147,6,Some Random Commen with Id 84
85,20,0,177,7,Some Random Commen with Id 85
86,20,0,82,3,Some Random Commen with Id 86
87,20,0,161,4,Some Random Commen with Id 87
88,20,0,99,1,Some Random Commen with Id 88
89,21,1,151,0,Some Random Commen with Id 89
90,21,1,46,0,Some Random Commen with Id 90
91,21,1,48,2,Some Random Commen with Id 91
92,22,2,5,2,Some Random Commen with Id 92
93,22,2,47,2,Some Random Commen with Id 93
94,22,2,18,6,Some Random Commen with Id 94
95,22,2,123,7,Some Random Commen with Id 95
96,23,0,185,8,Some Random Commen with Id 96
97,23,0,18,4,Some Random Commen with Id 97
98,23,0,115,0,Some Random Commen with Id 98
99,23,0,12,9,Some Random Commen with Id 99
100,24,7,172,4,Some Random Commen with Id 100
101,24,7,142,1,Some Random Commen with Id 101
102,24,7,91,7,Some Random Commen with Id 102
103,25,7,181,9,Some Random Commen with Id 103
104,25,7,114,3,Some Random Commen with Id 104
105,25,7,169,9,Some Random Commen with Id 105
106,25,7,59,8,Some Random Commen with Id 106
107,25,7,181,0,Some Random Commen with Id 107
108,25,7,78,6,Some Random Commen with Id 108
109,26,9,154,9,Some Random Commen with Id 109
110,26,9,171,7,Some Random Commen with Id 110
111,26,9,117,6,Some Random Commen with Id 111
112,26,9,126,9,Some Random Commen with Id 112
113,26,9,7,1,Some Random Commen with Id 113
114,26,9,149,6,Some Random Commen with Id 114
115,26,9,98,1,Some Random Commen with Id 115
116,26,9,180,9,Some Random Commen with Id 116
117,26,9,189,2,Some Random Commen with Id 117
118,28,9,119,1,Some Random Commen with Id 118
119,28,9,149,5,Some Random Commen with Id 119
120,28,9,0,2,Some Random Commen with Id 120
121,29,7,114,9,Some Random Commen with Id 121
122,29,7,20,5,Some Random Commen with Id 122
123,29,7,179,9,Some Random Commen with Id 123
124,29,7,19,1,Some Random Commen with Id 124
125,31,6,177,9,Some Random Commen with Id 125
126,31,6,80,3,Some Random Commen with Id 126
127,31,6,151,8,Some Random Commen with Id 127
128,31,6,199,5,Some Random Commen with Id 128
129,31,6,161,3,Some Random Commen with Id 129
130,34,5,49,5,Some Random Commen with Id 130
131,34,5,174,6,Some Random Commen with Id 131
132,34,5,78,2,Some Random Commen with Id 132
133,34,5,108,2,Some Random Commen with Id 133
134,34,5,131,6,Some Random Commen with Id 134
135,34,5,26,5,Some Random Commen with Id 135
136,34,5,196,7,Some Random Commen with Id 136
137,34,5,88,0,Some Random Commen with Id 137
138,35,3,66,7,Some Random Commen with Id 138
139,36,4,186,6,Some Random Commen with Id 139
140,36,4,174,1,Some Random Commen with Id 140
141,36,4,118,6,Some Random Commen with Id 141
142,36,4,74,2,Some Random Commen with Id 142
143,36,4,197,5,Some Random Commen with Id 143
144,37,8,131,7,Some Random Commen with Id 144
145,37,8,192,1,Some Random Commen with Id 145
146,37,8,150,9,Some Random Commen with Id 146
147,37,8,50,9,Some Random Commen with Id 147
148,37,8,189,2,Some Random Commen with Id 148
149,37,8,112,0,Some Random Commen with Id 149
150,38,4,145,9,Some Random Commen with Id 150
151,38,4,46,3,Some Random Commen with Id 151
152,38,4,161,7,Some Random Commen with Id 152
153,38,4,168,2,Some Random Commen with Id 153
154,38,4,3,8,Some Random Commen with Id 154
155,38,4,54,2,Some Random Commen with Id 155
156,38,4,87,5,Some Random Commen with Id 156
157,38,4,84,3,Some Random Commen with Id 157
158,38,4,33,7,Some Random Commen with Id 158
159,39,7,46,9,Some Random Commen with Id 159
160,39,7,158,3,Some Random Commen with Id 160
161,39,7,59,5,Some Random Commen with Id 161
162,39,7,160,2,Some Random Commen with Id 162
163,39,7,132,7,Some Random Commen with Id 163
164,39,7,107,9,Some Random Commen with Id 164
165,39,7,133,7,Some Random Commen with Id 165
166,39,7,87,5,Some Random Commen with Id 166
167,39,7,9,4,Some Random Commen with Id 167
